source_language,target_language,source_text,target_text,table_name,source_comment,weight
uk,en,Актос,pioglitazone,UTIS,http://utis.in.ua/pioglitazone/,3
uk,en,Акфол,folic-acid,UTIS,http://utis.in.ua/folic-acid/,3
uk,en,Актиноміцин D,dactinomycin,UTIS,http://utis.in.ua/dactinomycin/,3
uk,en,Актрапід,insulin,UTIS,http://utis.in.ua/insulin/,3
uk,en,Акуетро,carbamazepine,UTIS,http://utis.in.ua/carbamazepine/,3
uk,en,Акуренал,quinapril,UTIS,http://utis.in.ua/quinapril/,3
uk,en,Акутрим,phenylpropanolamine,UTIS,http://utis.in.ua/phenylpropanolamine/,3
uk,en,Акуфаза,zuclopenthixol,UTIS,http://utis.in.ua/zuclopenthixol/,3
uk,en,Акюлар,ketorolac,UTIS,http://utis.in.ua/ketorolac/,3
uk,en,Ак’юлар,ketorolac,UTIS,http://utis.in.ua/ketorolac/,3
uk,en,Аламідон,amidopyrine,UTIS,http://utis.in.ua/amidopyrine/,3
uk,en,Албістат,miconazole,UTIS,http://utis.in.ua/miconazole/,3
uk,en,Алвопенем,meropenem,UTIS,http://utis.in.ua/meropenem/,3
uk,en,Алгокалмін,analgin,UTIS,http://utis.in.ua/analgin/,3
uk,en,Алгопірин,analgin,UTIS,http://utis.in.ua/analgin/,3
uk,en,Албутерол,salbutamol,UTIS,http://utis.in.ua/salbutamol/,3
uk,en,Алексофаст,fexofenadine,UTIS,http://utis.in.ua/fexofenadine/,3
uk,en,Алемтузумаб,alemtuzumab,UTIS,http://utis.in.ua/alemtuzumab/,3
uk,en,Алендронат,alendronate,UTIS,http://utis.in.ua/alendronate/,3
uk,en,Алендронова кислота,alendronate,UTIS,http://utis.in.ua/alendronate/,3
uk,en,Алендрос 70,alendronate,UTIS,http://utis.in.ua/alendronate/,3
uk,en,Алентол,amfetamine,UTIS,http://utis.in.ua/amfetamine/,3
uk,en,Алерго,fexofenadine,UTIS,http://utis.in.ua/fexofenadine/,3
uk,en,Алергодил,azelastine,UTIS,http://utis.in.ua/azelastine/,3
uk,en,Алерон,levocetirizine,UTIS,http://utis.in.ua/levocetirizine/,3
uk,en,Алертек,modafinil,UTIS,http://utis.in.ua/modafinil/,3
uk,en,Алєндра,alendronate,UTIS,http://utis.in.ua/alendronate/,3
uk,en,Алів,naproxen,UTIS,http://utis.in.ua/naproxen/,3
uk,en,Алілестренол,turinal,UTIS,http://utis.in.ua/turinal/,3
uk,en,Алімепразин,trimeprazine,UTIS,http://utis.in.ua/trimeprazine/,3
uk,en,Алірокумаб,alirocumab,UTIS,http://utis.in.ua/alirocumab/,3
uk,en,Бігумаль,proguanil,UTIS,http://utis.in.ua/proguanil/,3
uk,en,Бідоп,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,Бізопролол,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,БіКНУ,carmustine,UTIS,http://utis.in.ua/carmustine/,3
uk,en,Біматопрост,bimatoprost,UTIS,http://utis.in.ua/bimatoprost/,3
uk,en,Біовен,imune-globulin-intravenous-human-normal-immunoglobulin-for-intravenous-administration,UTIS,http://utis.in.ua/imune-globulin-intravenous-human-normal-immunoglobulin-for-intravenous-administration/,3
uk,en,Біокарбазин,dacarbazine,UTIS,http://utis.in.ua/dacarbazine/,3
uk,en,Біоран,diclofenac,UTIS,http://utis.in.ua/diclofenac/,3
uk,en,Біостар,doxycycline,UTIS,http://utis.in.ua/doxycycline/,3
uk,en,Біотин,biotin,UTIS,http://utis.in.ua/biotin/,3
uk,en,Біотракс,anthrax-vaccine,UTIS,http://utis.in.ua/anthrax-vaccine/,3
uk,en,Біотраксон,ceftriaxone,UTIS,http://utis.in.ua/ceftriaxone/,3
uk,en,Біофлоракс,lactulose,UTIS,http://utis.in.ua/lactulose/,3
uk,en,Біоханін А,phytoestrogens,UTIS,http://utis.in.ua/phytoestrogens/,3
uk,en,Біоциклинд,doxycycline,UTIS,http://utis.in.ua/doxycycline/,3
uk,en,Біпериден,biperiden,UTIS,http://utis.in.ua/biperiden/,3
uk,en,Біпрол,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,Бісакодил,bisacodyl,UTIS,http://utis.in.ua/bisacodyl/,3
uk,en,Бісмут,bismuth-subsalicylate,UTIS,http://utis.in.ua/bismuth-subsalicylate/,3
uk,en,Бісмуту субсаліцилат,bismuth-subsalicylate,UTIS,http://utis.in.ua/bismuth-subsalicylate/,3
uk,en,Бісогамма,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,Бісокард,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,Бісольвон,ambroxol,UTIS,http://utis.in.ua/ambroxol/,3
uk,en,Бісопролол,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
